user_a,user_b,rssi,#timestamp
Oksana Volkova,Nia Nkosi,-80,1675200
Sofia Costa,Ahmed Rizk,-94,1350000
Ayako Suzuki,Caleb Sanchez,-79,1175700
Hiroshi Nakamura,Saki Tanaka,-63,234600
Lina Al-Saleh,Zainab Nkosi,-76,1667700
Noah Jenkins,-1,0,1991700
Sebastian Paz,Leah Watson,-58,1002300
Khaled Al-Rashidi,-1,0,1112400
Sofia Cook,-1,0,2293500
Aria Peterson,Ava Wright,-92,810300
Alexey Smirnov,-1,0,708600
Kwame Adebayo,Adnan Karim,-63,1077600
Naledi Khumalo,Isabella Guzman,-69,1441800
Nour El-Din,-1,0,1367400
Zara Diop,Addison Watson,-84,392700
Rajesh Gupta,Liam Thompson,-74,1340100
Isabella Andrade,Paisley Phillips,-58,2124600
Chloe Rogers,-1,0,421800
Zahara Adekunle,-1,0,2298000
Oksana Antonova,Matias Carvalho,-82,1347600
Gabriel Alvarez,Aisha Hakim,-92,735000
Matias Carvalho,Sebastian King,-90,1821000
Nicolas Ortega,Lina Al-Saleh,-55,528300
Hiroshi Kimura,Scarlett Hall,-90,460800
Mei Wang,-1,-76,1914000
Khaled Al-Hakim,-1,-86,1979400
Layla Al-Farsi,-1,-70,1887000
Camila Cardoso,-1,0,969600
Fatima Nkrumah,Ellie Parker,-78,1541700
Zoey Griffin,-1,0,589800
Arjun Gupta,-1,0,105300
Obi Eze,-1,0,2404800
Nadia Al-Salim,-1,0,2042400
Noah Martinez,-1,0,1576200
Fatima Al-Ahmadi,Aarav Gupta,-94,1350300
Emma Guzman,Valentina Ribeiro,-91,1425000
Emily Bell,Caleb Wood,-73,1938300
Dalia Mensah,-1,0,1977600
Chen Wang,-1,0,1365900
Lina Al-Saleh,Luna Howard,-96,2162100
Nicolas Almeida,Baraka Sesay,-82,819000
Christopher Foster,-1,0,1764000
Layla Al-Khouri,-1,0,1768500
Zikomo Banda,-1,0,808200
Zara Akintola,-1,-86,612900
Ahmed Nasser,-1,-95,2075400
Svetlana Orlova,Victoria Rocha,-86,736800
Sophia Cooper,-1,0,571800
Kofi Boateng,Violet Kelly,-94,2200800
Isabella Guzman,-1,0,1977000
Haruki Nakamura,-1,0,929100
Jabari Mbeki,-1,0,436200
Khadija Kamara,-1,-85,655500
Sofia Ribeiro,Rajan Patel,-98,1750500
Nkosana Nkosi,Ji-hye Park,-78,1080600
Lucas Pereira,Ariana Jenkins,-95,1319100
Abigail Morgan,-1,-82,1765800
Aleksandr Gusev,-1,0,105300
Layla Al-Hamadi,David Murphy,-78,1411800
Martina Alvarez,Valeria Correa,-89,620400
Aleksei Sokolov,-1,-78,1994100
Oksana Antonova,Aleksandr Petrov,-94,992100
Nia Nkosi,Ella Phillips,-91,1617600
Samuel Reed,-1,-75,1929600
Tariq Mansour,-1,-97,1716900
Aleksandr Makarov,Jomo Keita,-85,992100
Agustina Duarte,-1,0,12900
Tetsuya Ono,-1,0,565800
Matias Carvalho,-1,-83,1274700
Yelena Sidorova,Aisha Jallow,-96,1884600
Deepika Singh,-1,0,402000
Paisley Flores,-1,0,284400
Pedro Gomes,Priya Patel,-92,1420800
Imran Dube,Christopher Price,-79,252000
Fatima Al-Ahmadi,Nala Bah,-98,1029900
Nyarai Chikwava,Ayaka Suzuki,-87,2019300
Emiliano Cabrera,Emily Hall,-93,2281500
Audrey Ward,-1,0,1633200
Nala Diallo,Kenta Yamamoto,-92,744300
Min-jun Lee,-1,0,2376900
Chloe Rogers,-1,0,2178000
Mounir El-Said,Caleb Wood,-91,355800
Valentina Ribeiro,Amara Sesay,-94,1404600
Ibrahim Fawzi,-1,0,78600
Imran Dube,-1,0,1937100
Isaac Rogers,Samuel Lee,-90,1800
Abdullah Fawzi,Safiya Kamau,-78,469200
Scarlett Hall,Alexander Reed,-76,2108100
Jomo Keita,-1,0,770700
Emilia Pereira,Christian Carter,-76,543300
Renata Miranda,Andrew Hayes,-75,1434600
Malik Toure,-1,0,1884600
Sara Hassan,Matthew Adams,-69,727500
Andrew Foster,-1,0,974400
Igor Sidorov,-1,0,1717800
Khadija Issa,-1,0,2173500
Renata Miranda,Yuki Nakamura,-88,1956300
William Cox,-1,-92,265200
Raziya Abubakar,-1,0,2268600
Christopher Reed,-1,0,1894200
Kwame Adebayo,Adnan Karim,-35,1983000
Joseph Kelly,-1,-90,69900
Arjun Patel,-1,0,1213500
Emily Hall,-1,0,1824300
Priya Patel,-1,0,2195100
Mirembe Nakamura,Mei Nakamura,-86,625500
Iniko Ogundele,-1,0,1128300
Zuri Okoro,David Murphy,-97,1600500
